main_category,sub_category,is_active,display_order,id,created_date,updated_date,created_by_id,created_by,is_sample
"כללי","תרבות","true","","69399cb002254a1584ab7a29","2025-12-10T16:15:44.915000","2025-12-10T16:15:44.915000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"אומנות","ציורים מקוריים","true","","69032be422693f1b23f49342","2025-10-30T09:12:04.224000","2025-10-30T09:12:04.224000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"אומנות","ציורים מקוריים","true","","69032be3af89fc50bcce4d55","2025-10-30T09:12:03.387000","2025-10-30T09:12:03.387000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"משפחה","הנחיית הורים","true","","68bed02ac644d72b958a24f2","2025-09-08T12:46:34.839000","2025-09-08T12:46:34.839000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"משפחה","הנחיית הורים","true","","68bed029e21042bd52e97341","2025-09-08T12:46:33.935000","2025-09-08T12:46:33.935000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"רפואי","דיקור סיני / רפואה סינית / רפואה משלימה","true","","68a9f31507fca049fe7ddc8e","2025-08-23T16:57:57.518000","2025-08-23T16:57:57.518000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"רוח והשראה ","ערבי נשים ","true","","68a9f313396112c6b9d43257","2025-08-23T16:57:55.376000","2025-08-23T16:57:55.376000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"טיפול ויעוץ","טיפול בריברסינג (נשימה מעגלית)","true","","68a9f30d9bdb086f8ff8ccf5","2025-08-23T16:57:49.926000","2025-08-23T16:57:49.926000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"טיפול ויעוץ","דיקור, כוסות רוח ומוקסה","true","","68a9f3081ade9d050becd54d","2025-08-23T16:57:44.819000","2025-08-23T16:57:44.819000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"אומנות ויצירה","תפירה","true","4","6847eab8d36ab6e11e84ef06","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","כתיבה יוצרת","true","1","6847eab8d36ab6e11e84ef03","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"שירותי בית","בייביסיטר","true","4","6847eab8d36ab6e11e84eefb","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"שירותי בית","הכנת ארוחות","true","5","6847eab8d36ab6e11e84eefc","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","תזונה","true","4","6847eab8d36ab6e11e84ef00","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","עיצוב מוצר","true","7","6847eab8d36ab6e11e84ef09","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","עיסוי","true","2","6847eab8d36ab6e11e84eefe","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","מוזיקה","true","3","6847eab8d36ab6e11e84ef05","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"קהילה ותמיכה","ליווי רגשי קהילתי","true","4","6847eab8d36ab6e11e84ef16","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"מכירה","מכירת עבודות יד","true","1","6847eab8d36ab6e11e84ef0f","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"דיגיטל וטכנולוגיה","ניהול תוכן","true","2","6847eab8d36ab6e11e84ef0b","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"מכירה","מוצרי יד שנייה","true","2","6847eab8d36ab6e11e84ef10","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"דיגיטל וטכנולוגיה","ניהול סושיאל","true","4","6847eab8d36ab6e11e84ef0d","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"דיגיטל וטכנולוגיה","שיווק דיגיטלי","true","3","6847eab8d36ab6e11e84ef0c","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"קהילה ותמיכה","התנדבות","true","3","6847eab8d36ab6e11e84ef15","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","רפלקסולוגיה","true","6","6847eab8d36ab6e11e84ef02","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","רפואה טבעית","true","3","6847eab8d36ab6e11e84eeff","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","סריגה","true","5","6847eab8d36ab6e11e84ef07","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","שירה","true","2","6847eab8d36ab6e11e84ef04","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","כושר","true","5","6847eab8d36ab6e11e84ef01","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"דיגיטל וטכנולוגיה","עיצוב גרפי","true","5","6847eab8d36ab6e11e84ef0e","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפוח ובריאות","קוסמטיקה","true","1","6847eab8d36ab6e11e84eefd","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"קהילה ותמיכה","תפילה עבור נשים אחרות","true","2","6847eab8d36ab6e11e84ef14","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"קהילה ותמיכה","שיחה עם נשים","true","1","6847eab8d36ab6e11e84ef13","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"מכירה","חנות אונליין","true","4","6847eab8d36ab6e11e84ef12","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"אומנות ויצירה","ציור","true","6","6847eab8d36ab6e11e84ef08","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"דיגיטל וטכנולוגיה","בניית אתרים","true","1","6847eab8d36ab6e11e84ef0a","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"מכירה","תוצרת בית","true","3","6847eab8d36ab6e11e84ef11","2025-06-10T08:20:08.547000","2025-06-10T08:20:08.547000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפול וייעוץ","טיפול רגשי","true","1","6847eab8d36ab6e11e84eeee","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"חינוך והוראה","הוראה מתקנת","true","2","6847eab8d36ab6e11e84eef5","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
